,insert,delete,update,move
comment,5300,2751,2509,2140
solidity,21,2,59,2
library,53,125,0,118
interface,165,21,0,98
contract,316,325,0,455
state_variable_declaration,535,379,0,150
constructor_definition,4,6,0,2
modifier_definition,20,27,0,5
fallback_receive_definition,3,1,0,0
event,179,493,0,57
error,14,0,0,15
function_definition,3925,2977,0,963
modifier_invocation,48,23,0,12
assembly_statement,1,227,0,0
expression_statement,2714,2880,0,1101
if_statement,691,1217,0,75
for_statement,13,7,0,2
while_statement,2,0,0,0
revert_statement,5,1,0,0
try_statement,1,0,0,0
emit_statement,271,130,0,136
return_statement,142,40,0,10
visibility,529,412,0,666
state_mutability,152,3,0,51
parameter,631,385,0,636
calldata,470,0,0,0
memory,29,156,0,0
expression,5469,4343,0,2280
argument,2112,221,0,437
literal,25,317,81,2
identifier,328,846,2929,12
